c_custkey,c_name,c_nationkey,c_mktsegment,c_acctbal
1,Customer#000000001,6,HOUSEHOLD,4226.74
2,Customer#000000002,21,BUILDING,3322.77
3,Customer#000000003,5,AUTOMOBILE,8997.92
4,Customer#000000004,1,FURNITURE,4047.57
5,Customer#000000005,11,BUILDING,4421.11
6,Customer#000000006,18,AUTOMOBILE,6446.15
7,Customer#000000007,19,HOUSEHOLD,7852.22
8,Customer#000000008,0,AUTOMOBILE,7499.66
9,Customer#000000009,18,HOUSEHOLD,6577.13
10,Customer#000000010,3,BUILDING,7050.16
11,Customer#000000011,11,FURNITURE,9291.72
12,Customer#000000012,0,BUILDING,6513.83
13,Customer#000000013,24,FURNITURE,1953.91
14,Customer#000000014,0,HOUSEHOLD,-860.68
15,Customer#000000015,6,MACHINERY,6900.04
16,Customer#000000016,15,MACHINERY,7636.85
17,Customer#000000017,18,HOUSEHOLD,974.96
18,Customer#000000018,14,AUTOMOBILE,5218.8
19,Customer#000000019,19,MACHINERY,8404.1
20,Customer#000000020,2,FURNITURE,-969.18
21,Customer#000000021,10,HOUSEHOLD,7080.67
22,Customer#000000022,24,BUILDING,8870.62
23,Customer#000000023,14,BUILDING,-36.88
24,Customer#000000024,4,AUTOMOBILE,6204.12
25,Customer#000000025,5,MACHINERY,5777.5
26,Customer#000000026,15,HOUSEHOLD,5613.63
27,Customer#000000027,9,MACHINERY,2205.01
28,Customer#000000028,6,HOUSEHOLD,4126.11
29,Customer#000000029,11,BUILDING,6132.07
30,Customer#000000030,7,FURNITURE,8103.58
31,Customer#000000031,0,FURNITURE,7115.03
32,Customer#000000032,10,BUILDING,8341.64
33,Customer#000000033,22,HOUSEHOLD,7124.44
34,Customer#000000034,5,AUTOMOBILE,8288.61
35,Customer#000000035,22,BUILDING,7493.88
36,Customer#000000036,4,HOUSEHOLD,3112.91
37,Customer#000000037,12,MACHINERY,4553.15
38,Customer#000000038,8,MACHINERY,8128.66
39,Customer#000000039,5,BUILDING,257.15
40,Customer#000000040,6,HOUSEHOLD,5990.02
41,Customer#000000041,14,BUILDING,7893.52
42,Customer#000000042,24,FURNITURE,9225.82
43,Customer#000000043,1,FURNITURE,5409.73
44,Customer#000000044,3,BUILDING,7278.08
45,Customer#000000045,10,HOUSEHOLD,368.98
46,Customer#000000046,15,MACHINERY,3367.94
47,Customer#000000047,2,BUILDING,4722.61
48,Customer#000000048,24,MACHINERY,4744.7
49,Customer#000000049,4,AUTOMOBILE,6447.97
50,Customer#000000050,12,AUTOMOBILE,6140.17
51,Customer#000000051,4,FURNITURE,5577.57
52,Customer#000000052,9,AUTOMOBILE,9575.56
53,Customer#000000053,22,FURNITURE,1717.71
54,Customer#000000054,22,FURNITURE,4218.26
55,Customer#000000055,0,AUTOMOBILE,135.0
56,Customer#000000056,20,AUTOMOBILE,-926.91
57,Customer#000000057,6,BUILDING,9544.21
58,Customer#000000058,15,AUTOMOBILE,494.16
59,Customer#000000059,14,FURNITURE,4988.17
60,Customer#000000060,19,BUILDING,4048.45
61,Customer#000000061,18,AUTOMOBILE,4792.99
62,Customer#000000062,22,BUILDING,3498.05
63,Customer#000000063,9,FURNITURE,3032.37
64,Customer#000000064,21,BUILDING,1336.5
65,Customer#000000065,0,HOUSEHOLD,5877.4
66,Customer#000000066,16,MACHINERY,1184.15
67,Customer#000000067,6,AUTOMOBILE,1679.4
68,Customer#000000068,2,BUILDING,9047.35
69,Customer#000000069,24,FURNITURE,4549.17
70,Customer#000000070,2,AUTOMOBILE,4851.92
71,Customer#000000071,14,BUILDING,4612.83
72,Customer#000000072,7,HOUSEHOLD,4365.4
73,Customer#000000073,13,AUTOMOBILE,-833.37
74,Customer#000000074,12,MACHINERY,7268.04
75,Customer#000000075,1,AUTOMOBILE,4831.43
76,Customer#000000076,2,HOUSEHOLD,4570.25
77,Customer#000000077,16,FURNITURE,948.51
78,Customer#000000078,14,FURNITURE,7577.41
79,Customer#000000079,15,FURNITURE,8374.09
80,Customer#000000080,24,AUTOMOBILE,5589.25
81,Customer#000000081,10,MACHINERY,1294.4
82,Customer#000000082,11,FURNITURE,1333.23
83,Customer#000000083,5,HOUSEHOLD,4153.35
84,Customer#000000084,6,BUILDING,746.18
85,Customer#000000085,2,BUILDING,8884.61
86,Customer#000000086,12,AUTOMOBILE,2629.74
87,Customer#000000087,15,FURNITURE,5205.18
88,Customer#000000088,12,MACHINERY,5261.25
89,Customer#000000089,11,AUTOMOBILE,2843.0
90,Customer#000000090,22,BUILDING,7828.13
91,Customer#000000091,14,AUTOMOBILE,2959.66
92,Customer#000000092,21,MACHINERY,9307.62
93,Customer#000000093,14,BUILDING,-271.84
94,Customer#000000094,18,BUILDING,5844.9
95,Customer#000000095,18,HOUSEHOLD,8081.94
96,Customer#000000096,0,MACHINERY,-667.18
97,Customer#000000097,0,MACHINERY,1220.33
98,Customer#000000098,16,MACHINERY,6275.98
99,Customer#000000099,21,MACHINERY,7015.37
100,Customer#000000100,9,HOUSEHOLD,297.04
101,Customer#000000101,20,HOUSEHOLD,5305.72
102,Customer#000000102,1,BUILDING,3429.56
103,Customer#000000103,1,AUTOMOBILE,3027.1
104,Customer#000000104,9,AUTOMOBILE,3574.66
105,Customer#000000105,24,FURNITURE,9332.83
106,Customer#000000106,2,BUILDING,8360.81
107,Customer#000000107,0,AUTOMOBILE,7560.23
108,Customer#000000108,20,BUILDING,-149.85
109,Customer#000000109,12,HOUSEHOLD,5625.43
110,Customer#000000110,8,AUTOMOBILE,2090.93
111,Customer#000000111,13,HOUSEHOLD,3126.61
112,Customer#000000112,21,MACHINERY,696.93
113,Customer#000000113,10,MACHINERY,6321.19
114,Customer#000000114,2,MACHINERY,7215.06
115,Customer#000000115,2,MACHINERY,2010.72
116,Customer#000000116,16,HOUSEHOLD,4322.41
117,Customer#000000117,9,BUILDING,6346.0
118,Customer#000000118,19,FURNITURE,1699.37
119,Customer#000000119,0,HOUSEHOLD,3706.67
120,Customer#000000120,16,FURNITURE,428.21
121,Customer#000000121,23,MACHINERY,1943.3
122,Customer#000000122,13,BUILDING,391.99
123,Customer#000000123,7,AUTOMOBILE,8313.16
124,Customer#000000124,15,MACHINERY,-218.77
125,Customer#000000125,6,BUILDING,-15.46
126,Customer#000000126,24,HOUSEHOLD,75.24
127,Customer#000000127,9,FURNITURE,-883.47
128,Customer#000000128,21,AUTOMOBILE,8069.4
129,Customer#000000129,22,AUTOMOBILE,9721.1
130,Customer#000000130,17,HOUSEHOLD,544.46
131,Customer#000000131,22,FURNITURE,921.13
132,Customer#000000132,23,HOUSEHOLD,-780.41
133,Customer#000000133,18,AUTOMOBILE,740.79
134,Customer#000000134,15,AUTOMOBILE,7421.05
135,Customer#000000135,24,FURNITURE,981.9
136,Customer#000000136,18,FURNITURE,6651.53
137,Customer#000000137,12,MACHINERY,5830.41
138,Customer#000000138,0,AUTOMOBILE,3772.96
139,Customer#000000139,7,BUILDING,522.57
140,Customer#000000140,22,HOUSEHOLD,8950.45
141,Customer#000000141,22,FURNITURE,4907.77
142,Customer#000000142,5,BUILDING,3682.24
143,Customer#000000143,19,HOUSEHOLD,7637.35
144,Customer#000000144,0,FURNITURE,2418.08
145,Customer#000000145,15,HOUSEHOLD,204.08
146,Customer#000000146,2,HOUSEHOLD,9759.04
147,Customer#000000147,7,BUILDING,2316.8
148,Customer#000000148,3,FURNITURE,1057.69
149,Customer#000000149,19,BUILDING,717.89
150,Customer#000000150,14,BUILDING,6796.75
151,Customer#000000151,12,FURNITURE,338.84
152,Customer#000000152,6,HOUSEHOLD,2100.61
153,Customer#000000153,2,MACHINERY,7627.23
154,Customer#000000154,10,HOUSEHOLD,2626.98
155,Customer#000000155,20,BUILDING,1432.31
156,Customer#000000156,19,HOUSEHOLD,170.73
157,Customer#000000157,14,MACHINERY,9314.6
158,Customer#000000158,24,FURNITURE,492.51
159,Customer#000000159,17,MACHINERY,283.95
160,Customer#000000160,17,AUTOMOBILE,3507.22
161,Customer#000000161,1,MACHINERY,-403.21
162,Customer#000000162,15,AUTOMOBILE,8635.27
163,Customer#000000163,21,AUTOMOBILE,-222.32
164,Customer#000000164,17,BUILDING,169.19
165,Customer#000000165,17,HOUSEHOLD,3092.28
166,Customer#000000166,4,FURNITURE,6086.52
167,Customer#000000167,9,BUILDING,2113.2
168,Customer#000000168,20,MACHINERY,8197.33
169,Customer#000000169,24,MACHINERY,9776.22
170,Customer#000000170,3,BUILDING,7580.31
171,Customer#000000171,0,BUILDING,-464.23
172,Customer#000000172,15,MACHINERY,6662.38
173,Customer#000000173,1,AUTOMOBILE,9875.32
174,Customer#000000174,9,MACHINERY,6528.61
175,Customer#000000175,15,MACHINERY,6960.85
176,Customer#000000176,14,MACHINERY,-629.36
177,Customer#000000177,12,AUTOMOBILE,4529.15
178,Customer#000000178,18,MACHINERY,19.91
179,Customer#000000179,14,AUTOMOBILE,7453.34
180,Customer#000000180,4,FURNITURE,3268.09
181,Customer#000000181,15,AUTOMOBILE,-111.98
182,Customer#000000182,20,MACHINERY,6865.45
183,Customer#000000183,0,HOUSEHOLD,827.92
184,Customer#000000184,22,AUTOMOBILE,8375.6
185,Customer#000000185,0,HOUSEHOLD,208.09
186,Customer#000000186,2,FURNITURE,214.83
187,Customer#000000187,0,FURNITURE,8021.11
188,Customer#000000188,15,HOUSEHOLD,168.18
189,Customer#000000189,8,AUTOMOBILE,5418.36
190,Customer#000000190,21,HOUSEHOLD,4832.28
191,Customer#000000191,1,FURNITURE,9405.08
192,Customer#000000192,11,AUTOMOBILE,7650.19
193,Customer#000000193,8,AUTOMOBILE,9054.9
194,Customer#000000194,10,FURNITURE,9866.33
195,Customer#000000195,16,BUILDING,4035.9
196,Customer#000000196,2,HOUSEHOLD,-661.08
197,Customer#000000197,15,BUILDING,8382.11
198,Customer#000000198,3,BUILDING,5720.39
199,Customer#000000199,6,BUILDING,-629.99
200,Customer#000000200,21,MACHINERY,5140.15
201,Customer#000000201,7,AUTOMOBILE,7622.54
202,Customer#000000202,11,BUILDING,6744.2
203,Customer#000000203,12,HOUSEHOLD,5051.39
204,Customer#000000204,1,HOUSEHOLD,9778.88
205,Customer#000000205,20,BUILDING,416.22
206,Customer#000000206,13,AUTOMOBILE,3671.19
207,Customer#000000207,20,MACHINERY,8911.22
208,Customer#000000208,11,HOUSEHOLD,8141.52
209,Customer#000000209,12,BUILDING,-856.61
210,Customer#000000210,7,AUTOMOBILE,-11.68
211,Customer#000000211,12,HOUSEHOLD,4699.3
212,Customer#000000212,5,MACHINERY,-569.11
213,Customer#000000213,17,HOUSEHOLD,5214.97
214,Customer#000000214,22,FURNITURE,6413.94
215,Customer#000000215,18,MACHINERY,1176.88
216,Customer#000000216,5,FURNITURE,3300.67
217,Customer#000000217,16,AUTOMOBILE,3888.54
218,Customer#000000218,10,HOUSEHOLD,3713.01
219,Customer#000000219,5,AUTOMOBILE,-816.38
220,Customer#000000220,8,MACHINERY,-364.28
221,Customer#000000221,18,FURNITURE,-197.28
222,Customer#000000222,0,HOUSEHOLD,3008.1
223,Customer#000000223,1,BUILDING,1576.13
224,Customer#000000224,15,HOUSEHOLD,7778.07
225,Customer#000000225,19,HOUSEHOLD,4041.96
226,Customer#000000226,14,BUILDING,9014.58
227,Customer#000000227,15,AUTOMOBILE,2964.68
228,Customer#000000228,6,AUTOMOBILE,1337.43
229,Customer#000000229,13,MACHINERY,3182.05
230,Customer#000000230,9,HOUSEHOLD,3643.92
231,Customer#000000231,12,AUTOMOBILE,6476.62
232,Customer#000000232,7,BUILDING,2998.69
233,Customer#000000233,5,FURNITURE,8473.72
234,Customer#000000234,13,FURNITURE,7598.94
235,Customer#000000235,20,HOUSEHOLD,8476.5
236,Customer#000000236,6,FURNITURE,4697.07
237,Customer#000000237,2,FURNITURE,-558.44
238,Customer#000000238,12,FURNITURE,329.87
239,Customer#000000239,13,MACHINERY,4516.43
240,Customer#000000240,8,HOUSEHOLD,9909.84
241,Customer#000000241,21,HOUSEHOLD,-249.62
242,Customer#000000242,9,FURNITURE,4010.82
243,Customer#000000243,1,BUILDING,8640.94
244,Customer#000000244,6,MACHINERY,7795.98
245,Customer#000000245,24,BUILDING,9860.79
246,Customer#000000246,10,BUILDING,-710.66
247,Customer#000000247,22,FURNITURE,2681.48
248,Customer#000000248,0,MACHINERY,858.12
249,Customer#000000249,21,HOUSEHOLD,729.01
250,Customer#000000250,4,MACHINERY,8745.15
251,Customer#000000251,20,MACHINERY,8858.67
252,Customer#000000252,8,AUTOMOBILE,2106.42
253,Customer#000000253,8,HOUSEHOLD,1739.02
254,Customer#000000254,2,MACHINERY,-716.4
255,Customer#000000255,4,AUTOMOBILE,4883.51
256,Customer#000000256,14,AUTOMOBILE,4463.26
257,Customer#000000257,4,FURNITURE,9988.79
258,Customer#000000258,24,FURNITURE,1178.44
259,Customer#000000259,15,FURNITURE,7898.02
260,Customer#000000260,23,AUTOMOBILE,7721.19
261,Customer#000000261,23,HOUSEHOLD,7510.98
262,Customer#000000262,4,FURNITURE,323.88
263,Customer#000000263,4,MACHINERY,7720.59
264,Customer#000000264,17,BUILDING,2299.15
265,Customer#000000265,8,BUILDING,4551.38
266,Customer#000000266,1,HOUSEHOLD,8922.63
267,Customer#000000267,17,FURNITURE,3021.92
268,Customer#000000268,0,FURNITURE,2801.12
269,Customer#000000269,23,HOUSEHOLD,1453.16
270,Customer#000000270,5,HOUSEHOLD,6519.91
271,Customer#000000271,5,MACHINERY,1947.39
272,Customer#000000272,18,BUILDING,8140.95
273,Customer#000000273,12,HOUSEHOLD,9566.09
274,Customer#000000274,8,AUTOMOBILE,3765.5
275,Customer#000000275,8,AUTOMOBILE,4701.33
276,Customer#000000276,9,BUILDING,92.71
277,Customer#000000277,2,HOUSEHOLD,6523.99
278,Customer#000000278,15,BUILDING,8678.78
279,Customer#000000279,3,MACHINERY,-668.85
280,Customer#000000280,14,FURNITURE,3417.39
281,Customer#000000281,8,MACHINERY,6314.65
282,Customer#000000282,14,HOUSEHOLD,5501.21
283,Customer#000000283,23,HOUSEHOLD,9677.39
284,Customer#000000284,8,AUTOMOBILE,429.97
285,Customer#000000285,2,HOUSEHOLD,712.77
286,Customer#000000286,13,BUILDING,106.47
287,Customer#000000287,12,BUILDING,7079.37
288,Customer#000000288,5,MACHINERY,9530.49
289,Customer#000000289,12,AUTOMOBILE,6499.4
