l_orderkey,l_partkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_shipdate,l_returnflag
1,421,1,2,2243.37,0.06,1995-04-10,A
1,202,2,42,9374.89,0.08,1994-03-06,R
2,14,1,32,802.24,0.04,1992-03-23,A
2,244,2,7,9921.18,0.0,1996-04-20,N
2,686,3,43,3665.16,0.09,1996-08-23,A
3,625,1,33,715.81,0.07,1996-01-19,R
4,725,1,11,726.87,0.09,1993-03-26,N
4,443,2,15,1488.35,0.08,1998-12-26,N
4,606,3,19,9529.99,0.06,1993-05-18,N
5,525,1,36,288.33,0.08,1994-03-27,R
5,225,2,8,3099.83,0.04,1996-08-05,R
5,503,3,20,2842.05,0.01,1997-08-26,R
6,694,1,11,3732.11,0.07,1997-10-13,A
6,79,2,5,6713.28,0.08,1994-05-14,A
6,519,3,41,949.92,0.05,1992-07-13,A
7,415,1,46,3209.6,0.04,1998-04-07,R
7,382,2,36,1570.8,0.01,1994-08-10,N
8,733,1,19,1119.36,0.09,1994-06-03,N
9,6,1,46,5733.8,0.06,1993-02-16,A
9,41,2,17,9130.37,0.07,1997-10-13,A
10,271,1,12,4958.78,0.01,1994-06-07,R
10,527,2,38,1961.17,0.07,1994-09-28,R
11,256,1,4,6856.73,0.03,1995-01-24,R
11,637,2,16,3490.73,0.08,1996-02-02,N
12,688,1,16,8026.8,0.08,1996-04-23,R
12,609,2,15,267.91,0.03,1997-08-08,R
12,312,3,22,5537.69,0.09,1998-06-22,A
12,759,4,35,9891.56,0.03,1992-11-01,N
13,19,1,4,5989.15,0.1,1997-10-01,R
13,478,2,13,8660.38,0.02,1998-10-11,R
13,360,3,35,3474.14,0.08,1997-05-22,R
14,457,1,32,4290.15,0.03,1998-05-06,A
14,670,2,50,295.2,0.05,1992-07-10,R
14,686,3,26,5396.74,0.1,1993-10-09,A
15,298,1,13,7423.48,0.09,1996-08-11,R
16,247,1,40,8671.86,0.05,1997-08-20,R
16,404,2,32,9145.24,0.05,1994-01-18,N
16,490,3,4,9959.59,0.07,1998-04-27,N
17,112,1,5,7054.07,0.1,1995-11-21,A
17,742,2,38,8223.02,0.03,1996-02-11,R
18,420,1,36,8732.65,0.0,1997-08-09,A
18,197,2,20,7898.1,0.02,1993-07-28,R
19,68,1,32,428.62,0.01,1992-07-04,A
20,362,1,6,2307.32,0.09,1993-03-18,A
20,394,2,43,3011.99,0.06,1992-01-16,A
21,423,1,35,9874.05,0.1,1993-01-05,N
22,399,1,37,4854.77,0.02,1996-08-02,R
22,328,2,7,8806.36,0.09,1996-07-20,R
23,264,1,23,797.81,0.08,1994-10-04,R
24,637,1,2,5099.54,0.04,1998-10-03,R
24,746,2,44,4683.23,0.02,1995-01-16,A
25,540,1,37,9755.14,0.02,1997-03-23,N
25,591,2,9,7103.07,0.0,1998-03-20,A
26,772,1,21,1103.12,0.01,1995-02-20,N
26,753,2,30,9610.97,0.08,1992-12-11,A
27,104,1,32,475.44,0.03,1996-01-13,N
28,655,1,14,1861.05,0.03,1992-04-05,A
29,619,1,43,8115.65,0.08,1996-10-21,R
29,761,2,38,3177.52,0.04,1996-09-20,R
30,345,1,49,7414.12,0.03,1993-02-28,N
31,105,1,36,5551.61,0.02,1996-01-02,N
31,673,2,6,1470.2,0.03,1993-10-18,R
31,4,3,10,4074.07,0.02,1993-11-24,N
32,405,1,46,7110.84,0.1,1995-11-09,N
32,255,2,33,3529.94,0.0,1993-07-18,R
33,767,1,8,6531.21,0.04,1994-09-16,R
33,738,2,36,8822.16,0.09,1993-08-14,R
34,20,1,2,2559.39,0.05,1992-01-21,N
34,99,2,28,5182.22,0.09,1992-08-22,N
35,722,1,28,9549.04,0.07,1994-03-12,R
35,498,2,39,4748.26,0.03,1992-05-07,A
36,338,1,28,8875.09,0.05,1996-11-12,R
36,722,2,9,6336.36,0.03,1994-12-13,A
37,193,1,24,3830.18,0.01,1996-03-05,N
37,284,2,31,9992.14,0.05,1993-08-01,A
37,187,3,50,6731.24,0.0,1996-11-11,A
38,212,1,46,2970.93,0.09,1992-07-22,A
38,32,2,33,1907.58,0.02,1992-06-21,R
39,251,1,23,6692.91,0.03,1997-08-22,N
40,547,1,44,6619.24,0.0,1996-05-02,A
40,532,2,34,5281.09,0.1,1992-08-21,A
41,147,1,33,4541.78,0.09,1992-12-17,R
41,426,2,3,9872.01,0.03,1998-10-06,R
42,515,1,41,9484.81,0.01,1992-09-09,N
43,535,1,24,7728.52,0.04,1996-06-19,R
43,355,2,21,6553.07,0.04,1997-06-05,N
44,549,1,11,3913.52,0.0,1995-08-17,N
44,344,2,12,2231.82,0.07,1995-05-21,N
44,703,3,16,5703.44,0.03,1998-03-21,N
44,287,4,14,4114.05,0.06,1994-03-10,R
44,769,5,26,3042.86,0.02,1994-01-21,N
45,670,1,31,7158.27,0.01,1994-11-28,N
45,82,2,15,7207.25,0.08,1996-12-07,A
46,585,1,39,744.03,0.03,1994-08-15,A
46,7,2,22,5462.86,0.1,1993-05-16,A
47,616,1,22,1329.22,0.05,1998-04-20,N
48,384,1,46,9310.01,0.06,1994-05-05,A
49,274,1,22,1827.53,0.08,1995-05-14,A
49,252,2,19,1507.83,0.05,1996-07-04,A
50,732,1,3,662.41,0.02,1993-05-26,R
50,587,2,1,2890.68,0.1,1997-01-14,N
51,410,1,1,9536.28,0.04,1995-02-04,A
52,604,1,27,4650.27,0.09,1995-05-15,R
53,19,1,48,4826.68,0.07,1994-03-18,A
53,244,2,16,1401.17,0.1,1992-07-09,A
54,121,1,32,6797.76,0.03,1997-12-05,R
54,650,2,3,4985.76,0.07,1993-12-04,N
55,39,1,33,4173.0,0.01,1998-11-07,A
56,657,1,46,4350.15,0.07,1993-10-04,N
56,411,2,5,6668.45,0.04,1992-01-17,N
57,389,1,26,4297.42,0.09,1998-04-18,N
57,147,2,46,9116.38,0.06,1993-06-13,N
58,163,1,19,6502.48,0.09,1994-11-25,R
58,17,2,25,6089.25,0.01,1998-04-08,R
59,749,1,26,7367.39,0.08,1997-11-04,R
59,266,2,43,4827.82,0.06,1992-06-07,R
59,167,3,22,2384.87,0.01,1994-06-17,R
60,660,1,21,7308.46,0.07,1992-06-18,R
60,18,2,12,4925.89,0.07,1994-08-10,R
61,250,1,50,6081.01,0.02,1994-02-11,N
61,357,2,33,3733.03,0.1,1992-05-08,R
62,768,1,35,2898.53,0.06,1994-06-19,N
63,412,1,33,5032.55,0.09,1995-10-13,N
64,130,1,38,3534.68,0.1,1997-05-16,N
65,305,1,11,715.43,0.1,1993-11-16,N
65,699,2,10,2440.3,0.06,1992-11-04,R
65,491,3,12,8790.57,0.02,1997-10-12,N
65,561,4,1,3083.39,0.03,1998-05-22,R
66,32,1,10,4332.3,0.03,1997-10-14,R
66,559,2,21,8307.33,0.02,1996-10-17,R
66,489,3,36,3676.1,0.08,1992-02-03,N
67,355,1,4,8960.29,0.1,1995-04-17,R
68,454,1,40,1703.43,0.02,1993-07-21,N
69,494,1,19,8197.21,0.1,1992-04-18,R
70,62,1,16,454.84,0.04,1997-05-01,A
71,52,1,5,2656.37,0.08,1997-12-25,N
71,413,2,10,5068.7,0.03,1995-08-26,R
71,356,3,29,8093.85,0.0,1992-08-14,A
72,517,1,46,307.25,0.05,1998-01-27,R
72,700,2,3,8209.17,0.0,1996-03-24,A
73,372,1,19,3516.6,0.08,1993-05-21,R
73,205,2,9,7414.17,0.07,1997-06-26,N
73,799,3,15,3314.05,0.09,1995-05-22,R
74,760,1,18,8630.32,0.07,1995-01-23,R
75,690,1,2,1727.58,0.08,1996-09-12,R
75,285,2,50,3342.59,0.05,1994-05-07,N
75,376,3,22,4631.34,0.05,1998-03-02,A
75,414,4,41,2452.43,0.03,1994-03-16,N
76,611,1,4,932.41,0.01,1992-07-28,N
77,798,1,38,3987.27,0.02,1992-12-24,R
77,474,2,35,4744.73,0.09,1998-03-22,N
77,649,3,12,7470.19,0.04,1993-12-20,R
78,790,1,24,6415.07,0.01,1994-12-02,A
