o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority
1,238,F,44273.09,1998-08-09,1-URGENT
2,670,O,76909.67,1992-12-28,4-NOT SPECIFIED
3,53,O,51487.86,1994-12-25,3-MEDIUM
4,308,P,25105.21,1994-07-27,4-NOT SPECIFIED
5,440,O,86120.77,1995-07-13,3-MEDIUM
6,624,O,40840.49,1998-06-06,1-URGENT
7,752,O,3928.27,1997-03-19,1-URGENT
8,655,F,22325.87,1993-02-26,4-NOT SPECIFIED
9,578,P,55676.58,1995-09-27,1-URGENT
10,960,F,31737.92,1992-03-06,5-LOW
11,199,P,59774.5,1992-08-10,4-NOT SPECIFIED
12,571,F,52780.56,1993-12-15,3-MEDIUM
13,777,O,12443.38,1996-05-07,3-MEDIUM
14,877,F,9511.25,1994-01-28,2-HIGH
15,347,F,6906.97,1997-01-01,3-MEDIUM
16,37,P,61191.75,1997-12-11,1-URGENT
17,800,P,56285.7,1993-10-02,2-HIGH
18,967,P,59040.51,1993-01-14,1-URGENT
19,539,O,36168.28,1993-01-15,4-NOT SPECIFIED
20,562,F,6495.94,1993-03-01,1-URGENT
21,489,F,24669.5,1993-05-22,2-HIGH
22,589,F,63793.82,1996-09-02,2-HIGH
23,170,P,3456.27,1994-07-25,2-HIGH
24,279,F,4724.08,1996-04-23,3-MEDIUM
25,997,F,97495.22,1995-02-23,4-NOT SPECIFIED
26,213,P,1758.16,1994-09-09,4-NOT SPECIFIED
27,442,O,19964.78,1993-07-04,4-NOT SPECIFIED
28,42,O,48380.16,1995-12-04,5-LOW
29,584,F,18742.16,1997-03-27,5-LOW
30,546,P,30814.51,1993-02-18,3-MEDIUM
31,377,F,57511.61,1995-04-19,5-LOW
32,60,O,46122.87,1998-07-23,2-HIGH
33,284,F,32310.05,1994-05-23,3-MEDIUM
34,544,P,90621.15,1994-04-08,1-URGENT
35,473,P,70535.69,1995-06-26,2-HIGH
36,740,O,64125.71,1997-07-06,2-HIGH
37,222,O,84278.89,1996-11-28,1-URGENT
