p_partkey,p_name,p_brand,p_size,p_retailprice
1,olive widget #1,Brand#12,28,1972.5
2,blue coupling #2,Brand#32,14,1301.43
3,plum washer #3,Brand#23,6,1200.63
4,navy flange #4,Brand#22,16,1559.67
5,lavender sprocket #5,Brand#32,39,1934.64
6,red washer #6,Brand#21,35,1909.88
7,khaki coupling #7,Brand#22,13,1558.98
8,navy flange #8,Brand#54,47,582.65
9,plum coupling #9,Brand#51,24,625.17
10,lavender gear #10,Brand#45,20,78.84
11,blue spindle #11,Brand#42,15,1311.85
12,khaki sprocket #12,Brand#21,29,175.92
13,red sprocket #13,Brand#31,34,1921.64
14,plum bolt #14,Brand#51,2,1162.02
15,navy washer #15,Brand#55,3,1235.42
16,lavender coupling #16,Brand#45,30,1176.54
17,ivory washer #17,Brand#55,41,784.56
18,plum bolt #18,Brand#21,41,126.47
19,red flange #19,Brand#13,34,910.01
20,khaki coupling #20,Brand#21,14,977.22
21,ivory washer #21,Brand#33,26,1274.4
22,navy gear #22,Brand#51,20,661.01
23,maroon spindle #23,Brand#21,16,287.63
24,red coupling #24,Brand#54,39,1038.75
25,olive sprocket #25,Brand#31,47,512.89
26,red bracket #26,Brand#55,44,667.52
27,olive bolt #27,Brand#34,42,1586.86
28,khaki gasket #28,Brand#12,34,466.93
29,maroon flange #29,Brand#41,13,410.92
30,ivory sprocket #30,Brand#42,49,1807.14
31,navy widget #31,Brand#41,32,1298.03
32,lavender bolt #32,Brand#41,31,1227.43
33,red bolt #33,Brand#35,48,1645.49
34,blue gasket #34,Brand#15,18,1753.2
35,red gear #35,Brand#21,47,256.35
36,navy bolt #36,Brand#14,48,1720.13
37,plum widget #37,Brand#53,21,387.29
38,green coupling #38,Brand#15,7,1948.36
39,navy gear #39,Brand#44,40,1084.12
40,khaki gasket #40,Brand#25,46,1156.82
41,lavender widget #41,Brand#51,6,388.49
42,maroon bolt #42,Brand#12,17,1018.81
43,ivory coupling #43,Brand#23,5,1240.82
44,khaki bracket #44,Brand#51,13,658.67
45,blue sprocket #45,Brand#35,12,1626.46
46,khaki spindle #46,Brand#42,23,599.89
47,red bracket #47,Brand#11,15,1404.77
48,khaki flange #48,Brand#43,49,1449.13
49,maroon widget #49,Brand#44,5,1462.74
50,green flange #50,Brand#32,10,1375.71
51,navy gear #51,Brand#42,20,1173.41
52,lavender bolt #52,Brand#21,46,1218.55
53,red flange #53,Brand#14,46,662.92
54,khaki flange #54,Brand#35,20,1309.21
55,lavender flange #55,Brand#11,40,724.56
56,plum flange #56,Brand#11,39,1552.08
57,ivory bolt #57,Brand#12,14,1629.82
58,blue bracket #58,Brand#51,26,983.41
59,lavender widget #59,Brand#43,9,1121.79
60,maroon widget #60,Brand#32,42,708.59
61,plum widget #61,Brand#52,9,711.44
62,olive washer #62,Brand#13,8,1609.21
63,ivory gasket #63,Brand#42,3,1093.88
64,maroon flange #64,Brand#34,35,722.14
65,navy bolt #65,Brand#31,28,1523.19
66,green gear #66,Brand#11,35,1465.09
67,olive sprocket #67,Brand#32,15,1399.12
68,lavender spindle #68,Brand#14,10,981.43
69,maroon washer #69,Brand#41,36,1456.51
70,khaki washer #70,Brand#12,44,1179.01
71,khaki spindle #71,Brand#55,13,264.0
72,plum bolt #72,Brand#52,48,82.23
73,plum widget #73,Brand#45,12,1059.82
74,khaki bracket #74,Brand#22,41,112.67
75,ivory spindle #75,Brand#22,25,1488.16
